Name,Type,Units,Description,FullDescription
TSNR2_ELG_B,float32,,ELG B template (S/N)^2,ELG B template (S/N)^2
TSNR2_ELG_R,float32,,ELG R template (S/N)^2,ELG R template (S/N)^2
TSNR2_ELG_Z,float32,,ELG Z template (S/N)^2,ELG Z template (S/N)^2
TSNR2_GPBBACKUP,float64,,Template (S/N)^2 for backup targets in BPB,template (S/N)^2 for backup targets in guider pass band
TSNR2_GPBBACKUP_B,float64,,Template (S/N)^2 for backup targets in GPB (B),template (S/N)^2 for backup targets in guider pass band on B
TSNR2_GPBBACKUP_R,float64,,Template (S/N)^2 for backup targets in GPB (R),template (S/N)^2 for backup targets in guider pass band on R
TSNR2_GPBBACKUP_Z,float64,,Template (S/N)^2 for backup targets in GPB (Z),template (S/N)^2 for backup targets in guider pass band on Z
TSNR2_GPBBRIGHT,float64,,Template (S/N)^2 for bright targets in BPB,template (S/N)^2 for bright targets in guider pass band
TSNR2_GPBBRIGHT_B,float64,,Template (S/N)^2 for bright targets in BPB (B),template (S/N)^2 for bright targets in guider pass band on B
TSNR2_GPBBRIGHT_R,float64,,Template (S/N)^2 for bright targets in BPB (R),template (S/N)^2 for bright targets in guider pass band on R
TSNR2_GPBBRIGHT_Z,float64,,Template (S/N)^2 for bright targets in BPB (Z),template (S/N)^2 for bright targets in guider pass band on Z
TSNR2_GPBDARK,float64,,Template (S/N)^2 for dark targets in BPB,template (S/N)^2 for dark targets in guider pass band
TSNR2_GPBDARK_B,float64,,Template (S/N)^2 for dark targets in BPB (B),template (S/N)^2 for dark targets in guider pass band on B
TSNR2_GPBDARK_R,float64,,Template (S/N)^2 for dark targets in BPB (R),template (S/N)^2 for dark targets in guider pass band on R
TSNR2_GPBDARK_Z,float64,,Template (S/N)^2 for dark targets in BPB (Z),template (S/N)^2 for dark targets in guider pass band on Z
TSNR2_LRG,float32,,"LRG template (S/N)^2 summed over B,R,Z","LRG template (S/N)^2 summed over B,R,Z"
TSNR2_LRG_B,float32,,LRG B template (S/N)^2,LRG B template (S/N)^2
TSNR2_LRG_R,float32,,LRG R template (S/N)^2,LRG R template (S/N)^2
TSNR2_LRG_Z,float32,,LRG Z template (S/N)^2,LRG Z template (S/N)^2
TSNR2_LYA,float32,,"LYA template (S/N)^2 summed over B,R,Z","LYA template (S/N)^2 summed over B,R,Z"
TSNR2_LYA_B,float32,,LYA B template (S/N)^2,LYA B template (S/N)^2
TSNR2_LYA_R,float32,,LYA R template (S/N)^2,LYA R template (S/N)^2
TSNR2_LYA_Z,float32,,LYA Z template (S/N)^2,LYA Z template (S/N)^2
TSNR2_QSO,float32,,"QSO template (S/N)^2 summed over B,R,Z","QSO template (S/N)^2 summed over B,R,Z"
TSNR2_QSO_B,float32,,QSO B template (S/N)^2,QSO B template (S/N)^2
TSNR2_QSO_R,float32,,QSO R template (S/N)^2,QSO R template (S/N)^2
TSNR2_QSO_Z,float32,,QSO Z template (S/N)^2,QSO Z template (S/N)^2
TYPE,char[4],,Tractor morphological model type (MORPHTYPE),Morphological Model type from Tractor; renamed MORPHTYPE in most files
URAT_ID,int64,,ID in URAT catalog if applicable (ex: no Gaia),ID in the URAT catalog for sources where URAT supplemented missing Gaia astrometric information
URAT_SEP,float32,arcsec,"Separation b/w URAT and Gaia sources, if appl.",Separation between URAT and Gaia sources where URAT supplemented missing Gaia astrometric information
VAR_A_MGII,float32,,Variance of MgII fit amplitude parameter A,Variance of MgII fit amplitude parameter A
VAR_B_MGII,float32,,Variance of MgII fit offset parameter B,Variance of MgII fit offset parameter B
VAR_SIGMA_MGII,float32,,Variance of MgII fit width parameter sigma,Variance of MgII fit width parameter sigma
VERSION,char[14],,Tag of desitarget used to make target catalog,Tag of desitarget used to create the target catalog
WEIGHT,float64,,The combination of all weights to use,The combination of all weights to use
WEIGHT_COMP,float64,,Completeness weight accounting for the local chance of being assigned a fiber,Completeness weight accounting for the local chance of being assigned a fiber
WEIGHT_FKP,float64,,"1/(1+NZ*P0), with P0 different for each tracer","1/(1+NZ*P0), with P0 different for each tracer"
WEIGHT_FKP_NTILE,float64,,Mean FKP weights as a function of the number of overlapping tiles in the PIP version LSS catalogs,Mean FKP weights as a function of the number of overlapping tiles in the PIP version LSS catalogs (to be used in the angular pair-counts used for angular up-weighting)
WEIGHT_IIP,float64,,Weight coming from the probability of assignment in alt histories,Weight coming from the probability of assignment in alt histories
WEIGHT_IMLIN,float64,,Imaging systematics weights derived with the eBOSS linear regression method,Imaging systematics weights derived with the eBOSS linear regression method
WEIGHT_NTILE,float64,,Effective weight as a function of the number of overlapping tiles in the PIP version LSS catalogs,Effective weight as a function of the number of overlapping tiles in the PIP version LSS catalogs (to be used in the angular pair-counts used for angular up-weighting)
WEIGHT_RESCALED,float64,,Rescaled weight when unifying different targets into a single frame,Rescaled weight when unifying different targets into a single frame
WEIGHT_RF,float64,,Imaging systematics weights derived with the regressis random forest regression method,Imaging systematics weights derived with the regressis random forest regression method
WEIGHT_SN,float64,,Imaging systematics weights derived with the sysnet NN regression method,Imaging systematics weights derived with the sysnet NN regression method
WEIGHT_SYS,float64,,Correction for imaging conditions; RF method,"Correction for fluctuations in projected density with imaging conditions, from random forrest method"
WEIGHT_SYSEB,float64,,Corr for imaging conditions; eBOSS lin regress,"Correction for fluctuations in projected density with imaging conditions, from linear regression method applied to eBOSS"
WEIGHT_ZFAIL,float64,,Should be all 1 at this point for main survey,Should be all 1 at this point for main survey
WISEMASK_W1,byte,,Bitwise mask for WISE W1 data,Bitwise mask for WISE W1 data
WISEMASK_W2,byte,,Bitwise mask for WISE W2 data,Bitwise mask for WISE W2 data
Z,float64,,Redshift measured by Redrock,Redshift measured by Redrock
ZCAT_NSPEC,int32,,Nb of coadded spectra for TARGETID in catalog,Number of times this TARGETID appears in this catalog
ZCAT_PRIMARY,bool,,True if primary coadded spectrum in catalog,Boolean flag (True/False) for the primary coadded spectrum in this zcatalog
ZERR,float64,,Redshift error from redrock,Redshift error from redrock
ZPOSSLOC,bool,,Whether location is possible for target class,True/False whether the location could have been assigned to the given target class
ZTILEID,int32,,ID of latest tile that updated target state,ID of tile that most recently updated targets state
ZWARN,int64,,Redshift warning bitmask from Redrock,Redshift warning bitmask from Redrock
ZWARN_MTL,int64,,ZWARN from the zmtl file (contains extra bits),The ZWARN from the zmtl file (contains extra bits)
Z_CIII,float64,,Redshift estimated by QuasarNET with CIII line,Redshift estimated by QuasarNET with CIII line
Z_CIV,float64,,Redshift estimated by QuasarNET with CIV line,Redshift estimated by QuasarNET with CIV line
Z_COSMO,float32,,Cosmological redshift without RSD effects in mocks,Cosmological redshift without RSD effects in mocks
Z_HP,float64,,Redshift from Healpix coadd,Redshift from Healpix coadd
Z_Halpha,float64,,Redshift estimated by QuasarNET w\ Halpha line,Redshift estimated by QuasarNET with Halpha line
Z_Hbeta,float64,,Redshift estimated by QuasarNET w\ Hbeta line,Redshift estimated by QuasarNET with Hbeta line
Z_LYA,float64,,Redshift estimated by QuasarNET with LyA line,Redshift estimated by QuasarNET with LyA line
Z_MgII,float64,,Redshift estimated by QuasarNET with MgII line,Redshift estimated by QuasarNET with MgII line
Z_QN,float64,,Redshift by QuasarNET; highest confidence line,Redshift measured by QuasarNET using line with highest confidence
Z_QN_CONF,float64,,Redshift confidence from QuasarNET,Redshift confidence from QuasarNET
Z_RR,float64,,Redshift collected from redrock file,Redshift collected from redrock file
Z_not4clus,float64,,Redshift that eventually gets propagated as Z to the clustering catalogs (the not4clus aids in the blinding process),Redshift that eventually gets propagated as Z to the clustering catalogs (the not4clus aids in the blinding process)
